ticker,name,score,score_rank,industry_code,industry_name,is_current,is_selected_final,action,reason
003160,디아이,,,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003240,태광산업,,,032005,화학섬유 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003380,하림지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003470,유안타증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003490,대한항공,,,085101,항공 여객 운송업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003530,한화투자증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003540,대신증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003550,LG,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003570,SNT다이내믹스,,,033003,자동차 신품 부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003670,포스코퓨처엠,,,032802,일차전지 및 이차전지 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003690,코리안리,,,116502,재 보험업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003850,보령,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
004000,롯데정밀화학,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
004020,현대제철,,,032401,1차 철강 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
004370,농심,,,031008,기타 식품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
004690,삼천리,,,043502,연료용 가스 제조 및 배관공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
004800,효성,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
004990,롯데지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005090,SGC에너지,,,043501,전기업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005180,빙그레,,,031004,동·식물성 유지 및 낙농제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005300,롯데칠성음료,,,031102,비알코올음료 및 얼음 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005380,현대자동차,,,033001,자동차용 엔진 및 자동차 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005420,코스모화학,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005440,현대지에프홀딩스,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005490,POSCO홀딩스,,,032401,1차 철강 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
005880,대한해운,,,085001,해상 운송업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006040,동원산업,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006120,SK디스커버리,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006220,제주은행,,,116401,은행 및 저축기관,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006260,LS,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006280,녹십자,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006360,GS건설,,,064101,건물 건설업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006400,삼성SDI,,,032802,일차전지 및 이차전지 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
006650,대한유화,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
007070,GS리테일,,,074701,종합 소매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
007310,오뚜기,,,031008,기타 식품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
007390,네이처셀,,,032101,기초 의약물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
007660,이수페타시스,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
008770,호텔신라,,,074708,기타 상품 전문 소매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
008930,한미사이언스,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
009150,삼성전기,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
009240,한샘,,,074604,생활용품 도매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
009420,한올바이오파마,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
009540,HD한국조선해양,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
009830,한화솔루션,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
010060,OCI홀딩스,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
010780,아이에스동서,,,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
011170,롯데케미칼,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
011210,현대위아,,,033003,자동차 신품 부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
011780,금호석유화학,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
011790,SKC,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
012450,한화에어로스페이스,,,033103,"항공기,우주선 및 부품 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
012630,HDC,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
012750,에스원,,,147503,"경비, 경호 및 탐정업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
014620,성광벤드,,,032401,1차 철강 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
014680,한솔케미칼,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
015750,성우하이텍,,,033003,자동차 신품 부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
015760,한국전력공사,,,043501,전기업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
016360,삼성증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
018260,삼성에스디에스,,,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
018670,SK가스,,,074607,기타 전문 도매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
018880,한온시스템,,,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
020150,롯데에너지머티리얼즈,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
021240,코웨이,,,199609,그외 기타 개인 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
022100,포스코DX,,,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
023590,다우기술,,,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
025320,시노펙스,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
025980,아난티,,,095501,일반 및 생활 숙박시설 운영업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
026960,동서,,,074603,음·식료품 및 담배 도매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
028260,삼성물산,,,074607,기타 전문 도매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
028300,HLB,,,032103,의료용품 및 기타 의약 관련제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
030000,제일기획,,,137103,광고업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
030190,NICE평가정보,,,106309,기타 정보 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
030200,케이티,,,106102,전기 통신업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
030520,한글과컴퓨터,,,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
030530,원익홀딩스,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
030610,교보증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
031980,피에스케이홀딩스,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
032350,롯데관광개발,,,147502,여행사 및 기타 여행보조 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
032820,우리기술,,,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
032830,삼성생명,,,116501,보험업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
033100,제룡전기,,,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
033500,동성화인텍,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
033780,케이티앤지,,,031201,담배 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
034220,LG디스플레이,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
034230,파라다이스,,,189102,유원지 및 기타 오락관련 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
034730,SK,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
035250,강원랜드,,,189102,유원지 및 기타 오락관련 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
036540,SFA반도체,,,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
036810,에프에스티,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
036830,솔브레인홀딩스,,,137105,회사 본부 및 경영 컨설팅 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
036930,주성엔지니어링,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
039030,이오테크닉스,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
039490,키움증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
041190,우리기술투자,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
041960,코미팜,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
042520,한스바이오메드,,,032103,의료용품 및 기타 의약 관련제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
042660,한화오션,,,033101,선박 및 보트 건조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
042700,한미반도체,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
044490,태웅,,,032509,기타 금속 가공제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
045100,한양이엔지,,,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
047040,대우건설,,,064101,건물 건설업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
047050,포스코인터내셔널,,,074601,상품 중개업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
048410,현대바이오,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
051600,한전KPS,,,064203,전기 및 통신 공사업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
051900,LG생활건강,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
051910,LG화학,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
052400,코나아이,,,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
055550,신한지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
056080,유진로봇,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
