ticker,industry_code,industry_name
251280,137001,자연과학 및 공학 연구개발업
065660,074607,기타 전문 도매업
297570,032604,통신 및 방송 장비 제조업
001780,032402,1차 비철금속 제조업
260660,032103,의료용품 및 기타 의약 관련제품 제조업
354320,032402,1차 비철금속 제조업
361570,105902,오디오물 출판 및 원판 녹음업
131370,105802,소프트웨어 개발 및 공급업
140670,032602,전자부품 제조업
096610,032601,반도체 제조업
061040,032604,통신 및 방송 장비 제조업
148250,032602,전자부품 제조업
123010,032602,전자부품 제조업
476830,137001,자연과학 및 공학 연구개발업
347860,105802,소프트웨어 개발 및 공급업
196170,137001,자연과학 및 공학 연구개발업
123750,033109,그외 기타 운송장비 제조업
459550,032604,통신 및 방송 장비 제조업
085810,105802,소프트웨어 개발 및 공급업
043100,032701,의료용 기기 제조업
117670,032601,반도체 제조업
314140,032102,의약품 제조업
291650,137001,자연과학 및 공학 연구개발업
293780,137001,자연과학 및 공학 연구개발업
018250,032004,기타 화학제품 제조업
161000,032001,기초 화학물질 제조업
390110,032701,의료용 기기 제조업
310200,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
179530,032102,의약품 제조업
397810,137103,광고업
900100,074502,자동차 부품 및 내장품 판매업
000011,032809,기타 전기장비 제조업
052790,105802,소프트웨어 개발 및 공급업
290740,032602,전자부품 제조업
238090,032202,플라스틱제품 제조업
138360,032902,특수 목적용 기계 제조업
092600,032601,반도체 제조업
129890,032603,컴퓨터 및 주변장치 제조업
174900,032103,의료용품 및 기타 의약 관련제품 제조업
109960,074607,기타 전문 도매업
270520,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
255440,032902,특수 목적용 기계 제조업
030960,031801,인쇄 및 인쇄관련 산업
102120,032601,반도체 제조업
238120,032703,사진장비 및 광학기기 제조업
224810,064204,실내건축 및 건축마무리 공사업
019990,032901,일반 목적용 기계 제조업
011090,033201,가구 제조업
435570,031007,도시락 및 식사용 조리식품 제조업
270660,032805,가정용 기기 제조업
038680,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
137310,032701,의료용 기기 제조업
217480,032004,기타 화학제품 제조업
121890,032602,전자부품 제조업
304360,032102,의약품 제조업
389500,032901,일반 목적용 기계 제조업
042110,032805,가정용 기기 제조업
298060,032102,의약품 제조업
065420,032004,기타 화학제품 제조업
270210,032004,기타 화학제품 제조업
103230,032901,일반 목적용 기계 제조업
260970,031008,기타 식품 제조업
101490,032602,전자부품 제조업
095910,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
275630,105802,소프트웨어 개발 및 공급업
031330,074605,기계장비 및 관련 물품 도매업
060540,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
056190,032902,특수 목적용 기계 제조업
000008,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
005850,033003,자동차 신품 부품 제조업
246250,137309,"그외 기타 전문, 과학 및 기술 서비스업"
041510,105902,오디오물 출판 및 원판 녹음업
010580,033003,자동차 신품 부품 제조업
460870,032301,유리 및 유리제품 제조업
007820,032901,일반 목적용 기계 제조업
464080,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
109610,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
365330,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
012750,147503,"경비, 경호 및 탐정업"
306040,031501,"가죽, 가방 및 유사제품 제조업"
217910,032001,기초 화학물질 제조업
398120,032701,의료용 기기 제조업
472230,116601,금융 지원 서비스업
473000,116601,금융 지원 서비스업
473950,116601,금융 지원 서비스업
475660,032004,기타 화학제품 제조업
096630,032604,통신 및 방송 장비 제조업
069510,032605,영상 및 음향기기 제조업
488280,105802,소프트웨어 개발 및 공급업
234300,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
039440,032902,특수 목적용 기계 제조업
098660,031401,봉제의복 제조업
052020,074605,기계장비 및 관련 물품 도매업
237690,032102,의약품 제조업
458350,147509,기타 사업지원 서비스업
050760,032202,플라스틱제품 제조업
288620,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
443670,074601,상품 중개업
317830,032902,특수 목적용 기계 제조업
058610,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
043340,032901,일반 목적용 기계 제조업
023960,064102,토목 건설업
163280,032901,일반 목적용 기계 제조업
298690,085101,항공 여객 운송업
200710,032601,반도체 제조업
475580,033309,그외 기타 제품 제조업
096690,032603,컴퓨터 및 주변장치 제조업
140910,126801,부동산 임대 및 공급업
078520,032004,기타 화학제품 제조업
298380,032101,기초 의약물질 제조업
203400,137001,자연과학 및 공학 연구개발업
195990,032902,특수 목적용 기계 제조업
003800,033201,가구 제조업
088800,032604,통신 및 방송 장비 제조업
241840,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
364950,032902,특수 목적용 기계 제조업
453860,032004,기타 화학제품 제조업
312610,032802,일차전지 및 이차전지 제조업
015260,032602,전자부품 제조업
172670,032601,반도체 제조업
234070,147603,산업용 기계 및 장비 임대업
481070,074704,"섬유, 의복, 신발 및 가죽제품 소매업"
060900,043501,전기업
445090,032601,반도체 제조업
295310,032402,1차 비철금속 제조업
072990,137209,기타 과학기술 서비스업
044990,032602,전자부품 제조업
239610,031008,기타 식품 제조업
