ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,score,score_adj,rebalance_month_end,w,group_value,price_date,current_price
035900,59201,0,0,1,2017,00258689,JYP Ent.,2017-05-31,0.5714625895168206,7.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.24909013758219267,-1.0159226161307648,262.0,1.0,0.35557291564576765,0.19232740851667868,1.8850027425241327,5.0,1.0,0.18850027425241328,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5714625895168206,0.5714625895168206,2017-05-31,0.1,59201,2017-05-31,7650
213420,262,0,0,1,2017,01061558,덕산네오룩스,2017-05-31,0.5541639651568155,8.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.11011133051057967,-1.3396671916512302,290.0,1.0,0.4688835170779305,0.10080114421207538,0.5789104846024535,81.0,1.0,0.057891048460245356,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5541639651568155,0.5541639651568155,2017-05-31,0.1,262,2017-05-31,23196
017960,2512,0,0,1,2017,00159795,한국카본,2017-05-31,0.5522093293297066,9.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.18775257634071948,-1.1588055717842047,281.0,1.0,0.4055819501244716,0.14379087482636788,1.1923797958659532,39.0,1.0,0.11923797958659532,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5522093293297066,0.5522093293297066,2017-05-31,0.1,2512,2017-05-31,6630
000660,2612,0,0,1,2017,00164779,SK하이닉스,2017-05-31,0.5413391130405805,10.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.3101038454780459,-0.8737940615699649,238.0,1.0,0.3058279215494877,0.20607746481520467,2.0812179187245317,1.0,1.0,0.20812179187245317,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5413391130405805,0.5413391130405805,2017-05-31,0.1,2612,2017-05-31,57000
145020,211,0,0,2,2017,00888347,휴젤,2017-08-31,0.7423071217417742,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.06311413888152596,-1.4808441820193354,304.0,1.0,0.5182954637067674,0.19921795153315677,1.9433803221054764,11.0,1.0,0.19433803221054766,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.7423071217417742,0.7423071217417742,2017-08-31,0.1,211,2017-08-31,197788
058470,2629,0,0,2,2017,00369657,리노공업,2017-08-31,0.7124081939342652,2.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.11547757197932851,-1.3519024807052,294.0,1.0,0.47316586824682,0.21015940855979878,2.0956869986298616,9.0,1.0,0.20956869986298618,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.7124081939342652,0.7124081939342652,2017-08-31,0.1,2629,2017-08-31,10091
001800,649,0,0,2,2017,00117577,오리온홀딩스,2017-08-31,0.7115018710075043,3.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.17713067389496484,-1.2000855469787988,285.0,1.0,0.42002994144257955,0.24768028285006546,2.6179830374046564,1.0,1.0,0.26179830374046564,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.7115018710075043,0.7115018710075043,2017-08-31,0.1,649,2017-08-31,27500
237690,212,0,0,2,2017,00871833,에스티팜,2017-08-31,0.6577626074988752,4.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.11190762038876187,-1.3606932647402536,297.0,1.0,0.4762426426590887,0.1686926294859435,1.5184633901532731,19.0,1.0,0.15184633901532732,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.6577626074988752,0.6577626074988752,2017-08-31,0.1,212,2017-08-31,34950
214370,211,0,0,2,2017,00549891,케어젠,2017-08-31,0.6538462288857346,5.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.056234773819504806,-1.497784191155124,305.0,1.0,0.5242244669042934,0.13140982814770946,0.9994813615698219,48.0,1.0,0.0999481361569822,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.6538462288857346,0.6538462288857346,2017-08-31,0.1,211,2017-08-31,10912
095610,29271,0,0,2,2017,00524421,테스,2017-08-31,0.6418372582488842,6.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.25494793331003057,-1.0084653794882323,265.0,1.0,0.3529628828208813,0.2458142433820611,2.592007496035437,4.0,1.0,0.2592007496035437,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.6418372582488842,0.6418372582488842,2017-08-31,0.1,29271,2017-08-31,30400
